table,column,dtype,null_pct,unique_values,sample_values
transactions,gid,object,0.0%,4547,"['9566571.0', '8821081.0', '8944315.0']"
transactions,gnaf_pid,object,0.0%,4547,"['GANSW705844500', 'GANSW706332342', 'GANSW706324522']"
transactions,listing_source,object,0.0%,1,"['Sold', 'Sold', 'Sold']"
transactions,state,object,0.0%,1,"['NSW', 'NSW', 'NSW']"
transactions,street,object,0.0%,4443,"['64 ROSEVILLE AVE', '18 PENKIVIL ST', '120/2 ARTARMON RD']"
transactions,suburb,object,0.0%,16,"['ROSEVILLE', 'WILLOUGHBY', 'WILLOUGHBY']"
transactions,bedrooms,float64,29.3%,11,"[5.0, 4.0, 5.0]"
transactions,bathrooms,float64,30.6%,10,"[4.0, 5.0, 3.0]"
transactions,garage_spaces,float64,33.7%,10,"[2.0, 1.0, 1.0]"
transactions,building_size,object,23.7%,231,"['0 m²', '0 m²', '0 m²']"
transactions,land_size,float64,25.2%,1012,"[1037.0, 0.0, 697.0]"
transactions,mb,object,0.0%,411,"['10416760000', '10838820000', '10844030000']"
transactions,sa1,object,0.0%,98,"['12103140827', '12101168702', '12101168714']"
transactions,poa,object,0.0%,3,"['2069', '2068', '2068']"
transactions,sal,object,0.0%,9,"['Roseville', 'Willoughby (NSW)', 'Willoughby (NSW)']"
transactions,typ,object,0.0%,2,"['house', 'house', 'unit']"
transactions,dat,datetime64[us],0.0%,3292,"[Timestamp('2002-12-19 00:00:00'), Timestamp('2002-12-19 00:00:00'), Timestamp('2002-12-19 00:00:00'"
transactions,price,float64,0.3%,1567,"[2155000.0, 925000.0, 450000.0]"
transactions,zoning_appears_on_portals,bool,0.0%,2,"[False, False, False]"
transactions,market,object,0.0%,16,"['Roseville house buy', 'Willoughby (NSW) house buy', 'Willoughby (NSW) unit buy']"
transactions,hedonic_price,float64,0.3%,5233,"[1949999.9999999998, 693000.0, 700540.5405405405]"
transactions,date_sold,object,0.0%,3292,"['2002-12-19', '2002-12-19', '2002-12-19']"
transactions,display_price,object,0.0%,1580,"['2155000.0', '925000.0', '450000.0']"
transactions,source,object,0.0%,1,"['nswlrs', 'nswlrs', 'nswlrs']"
transactions,property_type,object,0.0%,3,"['UNKNOWN', 'UNKNOWN', 'UNKNOWN']"
transactions,yield,float64,100.0%,0,[]
transactions,sale_date,datetime64[us],0.0%,3292,"[Timestamp('2002-12-19 00:00:00'), Timestamp('2002-12-19 00:00:00'), Timestamp('2002-12-19 00:00:00'"
gnaf_properties,gid,int64,0.0%,70457,"[3115, 3120, 3123]"
gnaf_properties,gnaf_pid,object,0.0%,17808,"['GANSW705858629', 'GANSW705858630', 'GANSW705858631']"
gnaf_properties,street_locality_pid,object,0.0%,361,"['NSW2878308', 'NSW2878308', 'NSW2878308']"
gnaf_properties,locality_pid,object,0.0%,9,"['locc9618e9a6979', 'locc9618e9a6979', 'locc9618e9a6979']"
gnaf_properties,alias_principal,object,0.0%,1,"['P', 'P', 'P']"
gnaf_properties,primary_secondary,object,67.3%,2,"['S', 'S', 'S']"
gnaf_properties,building_name,object,98.6%,33,"['ROSEVILLE PUBLIC SCHOOL', 'ARCHBOLD HOUSE', 'ARCHBOLD HOUSE']"
gnaf_properties,lot_number,object,28.2%,588,"['1', '26', '16']"
gnaf_properties,flat_number,object,70.6%,486,"['UNIT 4', 'UNIT 7', 'UNIT 9']"
gnaf_properties,level_number,object,98.6%,14,"['LEVEL 1', 'LEVEL G', 'LEVEL G']"
gnaf_properties,number_first,object,0.0%,920,"['10', '11', '12']"
gnaf_properties,number_last,object,92.7%,93,"['21', '21', '21']"
gnaf_properties,street_name,object,0.0%,327,"['MELNOTTE', 'MELNOTTE', 'MELNOTTE']"
gnaf_properties,street_type,object,3.1%,15,"['AVENUE', 'AVENUE', 'AVENUE']"
gnaf_properties,street_suffix,object,100.0%,1,"['EAST', 'EAST', 'EAST']"
gnaf_properties,address,object,0.0%,17772,"['10 MELNOTTE AVENUE', '11 MELNOTTE AVENUE', '12 MELNOTTE AVENUE']"
gnaf_properties,locality_name,object,0.0%,9,"['ROSEVILLE', 'ROSEVILLE', 'ROSEVILLE']"
gnaf_properties,postcode,object,0.0%,3,"['2069', '2069', '2069']"
gnaf_properties,state,object,0.0%,1,"['NSW', 'NSW', 'NSW']"
gnaf_properties,locality_postcode,object,0.0%,3,"['2069', '2069', '2069']"
gnaf_properties,confidence,int64,0.0%,3,"[2, 2, 2]"
gnaf_properties,legal_parcel_id,object,3.6%,15454,"['1/105203', '26/7045', '15/455712']"
gnaf_properties,mb_2016_code,int64,0.0%,442,"[10840311000, 10840312000, 10840311000]"
gnaf_properties,mb_2021_code,int64,0.0%,444,"[10840311000, 10840312000, 10840311000]"
gnaf_properties,latitude,float64,0.0%,12284,"[-33.78747783, -33.78716364, -33.78737506]"
gnaf_properties,longitude,float64,0.0%,12297,"[151.18259512, 151.18320933, 151.18254886]"
gnaf_properties,geocode_type,object,0.0%,5,"['PROPERTY CENTROID', 'PROPERTY CENTROID', 'PROPERTY CENTROID']"
gnaf_properties,reliability,int64,0.0%,3,"[2, 2, 2]"
gnaf_properties,geom,object,0.0%,12354,"['0101000020BB100000E599B8D1D7E562406816D312CCE440C0', '0101000020BB1000008215D0D9DCE562403E3335C7C1"
gnaf_properties,schema,object,0.0%,4,"['gnaf_202402', 'gnaf_202402', 'gnaf_202402']"
