gid,gnaf_pid,listing_source,state,street,suburb,bedrooms,bathrooms,garage_spaces,building_size,land_size,mb,sa1,poa,sal,typ,dat,price,zoning_appears_on_portals,market,hedonic_price,date_sold,display_price,source,property_type,yield,sale_date,year,quarter,month,price_per_sqm,momentum_score,category
9566571.0,GANSW705844500,Sold,NSW,64 ROSEVILLE AVE,ROSEVILLE,5.0,4.0,,0 m²,1037.0,10416760000,12103140827,2069,Roseville,house,2002-12-19,2155000.0,False,Roseville house buy,1949999.9999999998,2002-12-19,2155000.0,nswlrs,UNKNOWN,,2002-12-19,2002,2002Q4,2002-12,2078.1099324975894,26.4,📉 Cooling
550002.0,GANSW705618555,Sold,NSW,12 PARKER ST,NORTHBRIDGE,4.0,5.0,,0 m²,697.0,10843200000,12101168309,2063,Northbridge (NSW),house,2002-12-20,2800000.0,False,Northbridge (NSW) house buy,1400000.0,2002-12-20,2800000.0,nswlrs,UNKNOWN,,2002-12-20,2002,2002Q4,2002-12,4017.2166427546626,70.0,📈 Growing
5584777.0,GANSW705618551,Sold,NSW,1 PARKER ST,NORTHBRIDGE,5.0,3.0,2.0,0 m²,601.0,10843432000,12101168309,2063,Northbridge (NSW),house,2002-12-20,1225000.0,False,Northbridge (NSW) house buy,1885000.0,2002-12-20,1225000.0,nswlrs,UNKNOWN,,2002-12-20,2002,2002Q4,2002-12,2038.2695507487522,70.0,📈 Growing
3909899.0,GANSW705574499,Sold,NSW,10 NAROOMA RD,NORTHBRIDGE,5.0,4.0,4.0,0 m²,650.0,10843510000,12101168322,2063,Northbridge (NSW),house,2002-12-26,1000000.0,False,Northbridge (NSW) house buy,1488506.0,2002-12-26,1000000.0,nswlrs,UNKNOWN,,2002-12-26,2002,2002Q4,2002-12,1538.4615384615386,70.0,📈 Growing
5339462.0,GANSW705566568,Sold,NSW,16 EASTERN VALLEY WAY,NORTHBRIDGE,,,,0 m²,658.0,11204679100,12101168314,2063,Northbridge (NSW),house,2003-01-08,177012.0,False,Northbridge (NSW) house buy,354024.0,2003-01-08,177012.0,nswlrs,UNKNOWN,,2003-01-08,2003,2003Q1,2003-01,269.01519756838906,70.0,📈 Growing
5723839.0,GANSW710647774,Sold,NSW,285 PENSHURST ST,NORTH WILLOUGHBY,,,,,,11205158800,12101168725,2068,North Willoughby,house,2003-01-10,5500000.0,False,North Willoughby house buy,2750000.0,2003-01-10,5500000.0,nswlrs,UNKNOWN,,2003-01-10,2003,2003Q1,2003-01,,75.0,📈 Growing
869983.0,GANSW705848448,Sold,NSW,126 BOUNDARY ST,ROSEVILLE,,,,,,10840380000,12101168408,2069,Roseville,house,2003-01-31,680000.0,False,Roseville house buy,1360000.0,2003-01-31,680000.0,nswlrs,UNKNOWN,,2003-01-31,2003,2003Q1,2003-01,,26.4,📉 Cooling
3656870.0,GANSW705844784,Sold,NSW,25 VICTORIA ST,ROSEVILLE,4.0,3.0,2.0,130 m²,809.0,11217390000,12103140861,2069,Roseville,house,2003-02-13,1234000.0,False,Roseville house buy,1290000.0,2003-02-13,1234000.0,nswlrs,UNKNOWN,,2003-02-13,2003,2003Q1,2003-02,1525.3399258343634,26.4,📉 Cooling
7358795.0,GANSW705628839,Sold,NSW,7/21 EASTERN VALLEY WAY,NORTHBRIDGE,1.0,1.0,1.0,0 m²,3998.0,10843230000,12101168314,2063,Northbridge (NSW),unit,2003-02-14,400000.0,False,Northbridge (NSW) unit buy,800000.0,2003-02-14,400000.0,nswlrs,UNKNOWN,,2003-02-14,2003,2003Q1,2003-02,100.05002501250625,70.0,📈 Growing
4026868.0,GANSW705561456,Sold,NSW,449 SAILORS BAY RD,NORTHBRIDGE,,,,,,10843321000,12101168334,2063,Northbridge (NSW),house,2003-02-19,1510000.0,False,Northbridge (NSW) house buy,1207500.0,2003-02-19,1510000.0,nswlrs,UNKNOWN,,2003-02-19,2003,2003Q1,2003-02,,70.0,📈 Growing
327608.0,GANSW707547939,Sold,NSW,4/181-185 PACIFIC HWY,ROSEVILLE,2.0,2.0,1.0,0 m²,0.0,10421450000,12103140832,2069,Roseville,unit,2003-02-21,385000.0,False,Roseville unit buy,770000.0,2003-02-21,385000.0,nswlrs,UNKNOWN,,2003-02-21,2003,2003Q1,2003-02,,26.4,📉 Cooling
11237956.0,GANSW705583922,Sold,NSW,6 MARANA RD,NORTHBRIDGE,4.0,2.0,2.0,0 m²,653.0,10843742000,12101168302,2063,Northbridge (NSW),house,2003-02-21,1250000.0,False,Northbridge (NSW) house buy,1475000.0,2003-02-21,1250000.0,nswlrs,UNKNOWN,,2003-02-21,2003,2003Q1,2003-02,1914.2419601837673,70.0,📈 Growing
11350929.0,GANSW705840202,Sold,NSW,26 BROMBOROUGH RD,ROSEVILLE,4.0,3.0,,0 m²,916.0,10421360000,12103140810,2069,Roseville,house,2003-02-22,1520000.0,False,Roseville house buy,1342000.0,2003-02-22,1520000.0,nswlrs,UNKNOWN,,2003-02-22,2003,2003Q1,2003-02,1659.3886462882097,26.4,📉 Cooling
7450320.0,GANSW705843845,Sold,NSW,7 KELBURN RD,ROSEVILLE,4.0,2.0,,0 m²,1115.0,11204616100,12103140821,2069,Roseville,house,2003-02-26,1450000.0,False,Roseville house buy,1405000.0,2003-02-26,1450000.0,nswlrs,UNKNOWN,,2003-02-26,2003,2003Q1,2003-02,1300.4484304932735,26.4,📉 Cooling
1674045.0,GANSW708262865,Sold,NSW,1/8 EASTERN VALLEY WAY,NORTHBRIDGE,3.0,3.0,1.0,186 m²,0.0,11205370100,12101168314,2063,Northbridge (NSW),unit,2003-02-26,740000.0,False,Northbridge (NSW) unit buy,1431315.7894736843,2003-02-26,740000.0,nswlrs,UNKNOWN,,2003-02-26,2003,2003Q1,2003-02,,70.0,📈 Growing
6973458.0,GANSW705848336,Sold,NSW,61 PARK AVE,ROSEVILLE,4.0,3.0,2.0,0 m²,803.0,10421420000,12103140811,2069,Roseville,house,2003-02-27,1290000.0,False,Roseville house buy,1105000.0,2003-02-27,1290000.0,nswlrs,UNKNOWN,,2003-02-27,2003,2003Q1,2003-02,1606.475716064757,26.4,📉 Cooling
5342921.0,GANSW705574450,Sold,NSW,16 DALKEITH ST,NORTHBRIDGE,,,,,,11205155500,12101168319,2063,Northbridge (NSW),house,2003-02-27,1310000.0,False,Northbridge (NSW) house buy,945000.0,2003-02-27,1310000.0,nswlrs,UNKNOWN,,2003-02-27,2003,2003Q1,2003-02,,70.0,📈 Growing
